**** BEGIN LOGGING AT Sat Mar 25 02:45:23 2017

Mar 25 02:45:23 *	Now talking on #serari
Mar 25 02:45:29 <RammsteinFan>	hopy
Mar 25 02:45:30 <gypsysoul>	O_o
Mar 25 02:45:31 <RammsteinFan>	hoppy
Mar 25 02:45:44 <gypsysoul>	hi rammstein
Mar 25 02:45:46 <hoppy>	:)\
Mar 25 02:45:49 <RammsteinFan>	awww
Mar 25 02:45:54 <RammsteinFan>	sorry hoppy
Mar 25 02:46:01 <hoppy>	lol
Mar 25 02:46:02 <RammsteinFan>	i was kidding
Mar 25 02:46:12 <RammsteinFan>	:)
Mar 25 02:46:14 <RammsteinFan>	ciao
Mar 25 02:46:18 <RammsteinFan>	come back pls
**** ENDING LOGGING AT Sat Mar 25 02:46:26 2017

