**** BEGIN LOGGING AT Sat Oct 22 08:48:04 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Oct 22 08:48:10 <DjAmmo>	!reqlogin ON
Oct 22 08:48:10 <Cronus>	You Are Now The Live DJ!
Oct 22 10:56:01 <Cronus>	Request from Fe in #Radio on IRC: Break your heart- Taio Cruz Use !dedicate text to dedicate the song to the person on the IRC Channel
Oct 22 11:25:47 <DjAmmo>	!reqlogin OFF
Oct 22 11:25:47 <Cronus>	You Are Now The Live DJ!
Oct 22 11:25:51 <DjAmmo>	!reqlogoout
Oct 22 11:25:56 <DjAmmo>	!reqlogout
Oct 22 11:25:57 <Cronus>	OK, you are no longer the active DJ
**** ENDING LOGGING AT Sat Oct 22 11:28:42 2016

**** BEGIN LOGGING AT Tue Oct 25 05:49:34 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Oct 25 05:49:42 <DjAmmo>	!reqlogon OFF
Oct 25 05:49:49 <DjAmmo>	!reqlogin OFF
Oct 25 05:49:51 <Cronus>	You Are Now The Live DJ!
Oct 25 06:00:27 <DjAmmo>	!reqlogin ON
Oct 25 06:00:27 <Cronus>	You Are Now The Live DJ!
Oct 25 07:26:52 <Cronus>	Request from tekisui in #Radio on IRC: david guetta - save the world tonight Use !dedicate text to dedicate the song to the person on the IRC Channel
Oct 25 07:27:05 <Cronus>	Request from KALLUUUUU---- in #Radio on IRC: aladeen modafaka Use !dedicate text to dedicate the song to the person on the IRC Channel
Oct 25 07:27:24 <Cronus>	Request from tekisui in #Radio on IRC: we send KALLUUUUU---- to mars  Use !dedicate text to dedicate the song to the person on the IRC Channel
Oct 25 07:44:53 <Cronus>	Request from tekisui in #Radio on IRC: rammstein * Stripped Use !dedicate text to dedicate the song to the person on the IRC Channel
Oct 25 07:46:16 <Cronus>	Request from Ghostlyras in #Radio on IRC: Midnight Oil Beds are Burning  Use !dedicate text to dedicate the song to the person on the IRC Channel
Oct 25 08:06:32 <Cronus>	Request from MuffinMedic in #Radio on IRC: vangelis chariots of fire theme Use !dedicate text to dedicate the song to the person on the IRC Channel
Oct 25 08:11:56 <DjAmmo>	!reqlogin OFF
Oct 25 08:11:57 <Cronus>	You Are Now The Live DJ!
Oct 25 08:20:14 <DjAmmo>	!reqlogout
Oct 25 08:20:15 <Cronus>	OK, you are no longer the active DJ
**** ENDING LOGGING AT Tue Oct 25 08:20:59 2016

**** BEGIN LOGGING AT Wed Nov 16 17:50:54 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Nov 16 17:50:59 <DjAmmo>	!reqlogin ON
Nov 16 17:51:00 <Cronus>	You Are Now The Live DJ!
Nov 16 18:19:12 <Cronus>	Request from rasmine in #Radio on IRC: Neil Young Southern Man    Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 18:24:51 <DjAmmo>	!reqlogin ON
Nov 16 18:24:52 <Cronus>	You Are Now The Live DJ!
Nov 16 19:25:43 <Cronus>	Request from RammsteinFan in #Radio on IRC: rammstein haifisch Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 19:26:19 <Cronus>	Request from Valentina_J in #Radio on IRC: The Corrs - Toss The Feathers Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 19:44:10 <Cronus>	Request from Valentina_J in #Radio on IRC: Fleetwood Mac - Second Hand News Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 20:13:45 <Cronus>	Request from Valentina_J in #Radio on IRC: Rush - Tom Sawyer Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 20:28:43 <Cronus>	Request from Valentina_J in #Radio on IRC: Montrose - Rock Candy  Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 20:38:11 <Cronus>	Request from Baby_girl in #Radio on IRC: sandi thom - november rain Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 20:41:01 <Cronus>	Request from Valentina_J in #Radio on IRC: Gov't Mule - Lola Leave Your Light On Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 20:57:41 <Cronus>	Request from LilMermaid in #Radio on IRC: Ariana Grande - Side to SIde ---LOL Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 20:59:28 <Cronus>	Request from Valentina_J in #Radio on IRC: Allman Brothers - You Don't Love Me (Play All Night CD) Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 21:18:06 <Cronus>	Request from RammsteinFan in #Radio on IRC: rammstein du hast Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 16 21:18:39 <Cronus>	Request from Lava in #Radio on IRC: AVVAH - Kaleidoskop (For JenYah) Use !dedicate text to dedicate the song to the person on the IRC Channel
