**** BEGIN LOGGING AT Thu Oct 20 01:47:39 2016

[DeWdRoPs has address Chat@0985EB.170366.909CF5.B50CCC]
Oct 20 01:47:39 <DeWdRoPs>	Veeeeeeeer.
Oct 20 01:49:49 <RammsteinFan>	nazuuuu
Oct 20 01:49:51 <RammsteinFan>	hugsss
Oct 20 01:50:05 <DeWdRoPs>	Hugsssssssssssss :)
Oct 20 01:50:11 <DeWdRoPs>	Busy in Radio  ?
Oct 20 01:51:27 <RammsteinFan>	no
Oct 20 01:51:40 <RammsteinFan>	im having trouble conncting to radio
Oct 20 01:51:45 <DeWdRoPs>	Oh okie. Getting ready to sleep ?
Oct 20 01:51:51 <DeWdRoPs>	Ah. Trying to fix it ?
Oct 20 01:52:29 <RammsteinFan>	no not me
Oct 20 01:52:38 <RammsteinFan>	someone else is looking into it
Oct 20 01:53:30 <DeWdRoPs>	Ah, okie. Veeeeer :)
Oct 20 01:53:55 <DeWdRoPs>	I will be back. Granny's medicine time :)
Oct 20 01:53:58 <DeWdRoPs>	Hugssssssssssssss :)
Oct 20 01:54:11 *	Notify: DeWdRoPs is offline (LibraIRC)
Oct 20 01:54:11 *	DeWdRoPs has quit (Quit: Reason filtered)
Oct 20 01:54:12 <RammsteinFan>	hugsss 
Oct 20 01:54:12 *	DeWdRoPs :No such nick/channel
**** ENDING LOGGING AT Thu Oct 20 01:54:16 2016

**** BEGIN LOGGING AT Thu Oct 20 09:23:08 2016

[DeWdRoPs has address Chat@0985EB.170366.909CF5.B50CCC]
Oct 20 09:23:08 <DeWdRoPs>	Hugsssssssssssssss, Veer :)
Oct 20 09:23:13 <DeWdRoPs>	Morning. have a lovely day :)
Oct 20 09:24:27 <RammsteinFan>	hugss nazu :)
Oct 20 09:24:30 <RammsteinFan>	morning
Oct 20 09:24:44 <RammsteinFan>	lovely day depends on how many emails i get and have to reply to :)
Oct 20 09:24:50 <RammsteinFan>	but danke :)
Oct 20 09:25:48 <DeWdRoPs>	Ah. You receive that many emails ??
Oct 20 09:26:02 <RammsteinFan>	yeah
Oct 20 09:26:10 <RammsteinFan>	monday is the maximum
Oct 20 09:26:22 <DeWdRoPs>	Woah. Busy Veer :)
Oct 20 09:26:28 <RammsteinFan>	weekdays its usually about 15-20
Oct 20 09:26:35 <RammsteinFan>	not that busy on weekdays
Oct 20 09:26:41 <DeWdRoPs>	Ah, okie.
Oct 20 09:26:50 <RammsteinFan>	lazy people in japan :D
Oct 20 09:27:09 <RammsteinFan>	so i gotta check and reply when they can do it for themselves
Oct 20 09:27:19 <RammsteinFan>	just want to cover their ass
Oct 20 09:27:27 <DeWdRoPs>	I get it :d
Oct 20 09:27:32 <RammsteinFan>	so whats your plan today?
Oct 20 09:28:23 <DeWdRoPs>	University. And then it's weekendddddddddddddddd :)
Oct 20 09:28:39 <RammsteinFan>	nice
Oct 20 09:28:50 <RammsteinFan>	how many milkshakes do you plan to drink tday? :D
Oct 20 09:29:02 <DeWdRoPs>	Lol. No plans. I will go with the flow :D
Oct 20 09:29:09 <RammsteinFan>	loool
Oct 20 09:29:12 <RammsteinFan>	good idea
Oct 20 09:29:30 <DeWdRoPs>	Yes. We shouldn't plan much. Just take it easy and go with the flow :P
Oct 20 09:29:38 <RammsteinFan>	sure
Oct 20 09:29:43 <RammsteinFan>	that works somtimes :)
Oct 20 09:31:30 <DeWdRoPs>	Yesss. Hmmm, only sometimes ? 
Oct 20 09:35:27 <RammsteinFan>	yeah sometimes
Oct 20 09:35:37 <RammsteinFan>	doesnt work for life
Oct 20 09:35:55 <RammsteinFan>	dont want ot get too philosophical early morning :)
Oct 20 09:36:41 <DeWdRoPs>	Yes. I understand. No philosophy in the morning :)
Oct 20 09:36:51 <RammsteinFan>	:)
Oct 20 09:37:08 <RammsteinFan>	ok i gotta go now
Oct 20 09:37:12 <RammsteinFan>	laters :)
Oct 20 09:37:16 <RammsteinFan>	hugggsss :)
Oct 20 09:37:22 <DeWdRoPs>	Yes. I will be leaving soon too.
Oct 20 09:37:27 <DeWdRoPs>	Hugssssssssssss & Hugsssssssssssss :)
Oct 20 09:37:33 <DeWdRoPs>	Take care, Veeeeer :)
Oct 20 09:37:57 <DeWdRoPs>	See you soooooooooooon :)
Oct 20 09:38:38 <RammsteinFan>	take care :)
Oct 20 09:38:41 <RammsteinFan>	see you soon :)
Oct 20 09:38:50 <DeWdRoPs>	:)
**** ENDING LOGGING AT Thu Oct 20 09:42:09 2016

**** BEGIN LOGGING AT Fri Oct 21 05:47:57 2016

[DeWdRoPs has address Chat@0985EB.170366.909CF5.B50CCC]
Oct 21 05:47:57 <DeWdRoPs>	Morning dear Veer. Hugssssssssss :) Nazu will be leaving now. Granny's medicine time and soon prayer time :)
Oct 21 05:48:03 <DeWdRoPs>	Take care and have a lovely day.
Oct 21 05:48:09 <DeWdRoPs>	See you sooooooooooooooon :)
Oct 21 05:48:16 <DeWdRoPs>	"Amcha" Veer :)
Oct 21 05:48:16 <RammsteinFan>	gud morning nazu :)
Oct 21 05:48:18 <RammsteinFan>	hugss :)
Oct 21 05:48:28 <RammsteinFan>	take care!
Oct 21 05:48:32 <RammsteinFan>	have a good day!
Oct 21 05:48:53 <DeWdRoPs>	You too :)
Oct 21 05:49:03 <DeWdRoPs>	Be jhakaaaaaaaaaaas and I will be raapchik :P
Oct 21 05:49:14 <RammsteinFan>	loool
Oct 21 05:49:18 <RammsteinFan>	sure :)
Oct 21 05:49:40 <DeWdRoPs>	:):) Okie. Laters :):) Hugssssssssssss
Oct 21 05:50:26 *	DeWdRoPs has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Fri Oct 21 05:55:45 2016

**** BEGIN LOGGING AT Sat Oct 22 09:21:35 2016

[DeWdRoPs has address Chat@0985EB.170366.909CF5.B50CCC]
