**** BEGIN LOGGING AT Wed Nov 23 21:03:06 2016

[LG has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 23 21:03:13 <RammsteinFan>	not interested in radio?
Nov 23 21:03:48 <LG>	i do... but i have a dabba system here
Nov 23 21:03:49 <LG>	:P
Nov 23 21:04:08 <RammsteinFan>	hmmm ok
Nov 23 21:04:31 <RammsteinFan>	usually you just come in and dont stay for long'
Nov 23 21:04:39 <LG>	yeah
**** ENDING LOGGING AT Wed Nov 23 21:05:22 2016

**** BEGIN LOGGING AT Wed Nov 23 21:07:44 2016

[LG has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 23 21:07:44 <LG>	what made you you choose your dj nick? Ammo?
Nov 23 21:08:11 <RammsteinFan>	just like that
Nov 23 21:08:27 <LG>	:) ok
**** ENDING LOGGING AT Wed Nov 23 21:09:21 2016

**** BEGIN LOGGING AT Wed Nov 23 22:44:59 2016

[LG has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 23 22:44:59 <LG>	:(
Nov 23 22:46:12 <RammsteinFan>	?
Nov 23 22:46:20 <LG>	my fate
Nov 23 22:48:06 <RammsteinFan>	what happened now?
Nov 23 22:48:17 <LG>	uff
Nov 23 22:48:23 <LG>	you're enjoying trivia
Nov 23 22:48:31 <LG>	maybe later
Nov 23 22:49:10 <RammsteinFan>	no its alright
Nov 23 22:49:17 <RammsteinFan>	you talked to her?
Nov 23 22:49:23 <LG>	yeah
Nov 23 22:49:37 <LG>	all was going good
Nov 23 22:49:42 <RammsteinFan>	ok
Nov 23 22:49:46 <LG>	and another fight
Nov 23 22:50:15 <LG>	another 15 days of hell
Nov 23 22:51:00 <RammsteinFan>	hmm
Nov 23 22:51:03 <RammsteinFan>	ok
Nov 23 22:51:26 <LG>	it's serious
Nov 23 22:51:31 <LG>	speak to you later abt it
Nov 23 22:51:48 <RammsteinFan>	ok
Nov 23 22:51:57 <RammsteinFan>	im here
Nov 23 22:52:04 <RammsteinFan>	trivia can wait
Nov 23 22:52:42 <LG>	well... in the days i went to himalayas, she started speaking to an indian guy in dubai
Nov 23 22:52:50 <LG>	who was 'always horny'
Nov 23 22:52:59 <RammsteinFan>	ah i see
Nov 23 22:53:00 <RammsteinFan>	and?
Nov 23 22:53:39 <LG>	and when she started speaking to me again she told him about me and he cursed her and stopped speaking
Nov 23 22:53:44 <LG>	yesterday
Nov 23 22:54:10 <RammsteinFan>	i see
