**** BEGIN LOGGING AT Sat Oct 22 09:26:56 2016

[LoverGuy has address Chat@love.friendship.faith.trust.peace.bliss]
Oct 22 09:26:56 <LoverGuy>	hi rf
Oct 22 09:27:30 <RammsteinFan>	hey lg
Oct 22 09:27:41 <RammsteinFan>	whats up
Oct 22 09:28:13 <LoverGuy>	nothing muhc
Oct 22 09:28:16 <LoverGuy>	you?
Oct 22 09:28:29 <RammsteinFan>	im ok
Oct 22 09:28:40 <LoverGuy>	cool
Oct 22 09:28:48 <LoverGuy>	she's here and not speaking :(
Oct 22 09:29:33 <RammsteinFan>	awww
Oct 22 09:33:11 <RammsteinFan>	she not active in main though
Oct 22 09:33:34 <LoverGuy>	yeah
Oct 22 09:33:38 <LoverGuy>	maybe away
Oct 22 09:33:45 <LoverGuy>	are you angry at me?
Oct 22 09:34:02 <RammsteinFan>	me? no
Oct 22 09:34:09 <LoverGuy>	ok :)
Oct 22 09:34:10 <RammsteinFan>	why?
Oct 22 09:34:18 <LoverGuy>	for making you promise all that stuff etc
Oct 22 09:34:18 <RammsteinFan>	im djing in radio room too
Oct 22 09:34:35 <RammsteinFan>	its fine lg
Oct 22 09:34:48 <RammsteinFan>	we are cool :)
Oct 22 09:35:02 <LoverGuy>	:)
Oct 22 09:35:25 <LoverGuy>	somehow i feel she is mine, man.... and i think we are meant to be one.. no matter how long it takes
Oct 22 09:36:16 <RammsteinFan>	she was here ytd..and in a good mood i think...was saying wd and ty to people
Oct 22 09:37:22 <RammsteinFan>	i was thinking you would be coming in
Oct 22 09:37:41 <LoverGuy>	i hardly get to login
Oct 22 09:37:48 <LoverGuy>	i'm in tehri-gharwal region
Oct 22 09:37:54 <RammsteinFan>	i see
Oct 22 09:37:56 <LoverGuy>	teens were registering for the army
Oct 22 09:38:01 <LoverGuy>	at internet cafes
Oct 22 09:38:07 <RammsteinFan>	ah ok
Oct 22 09:38:09 <LoverGuy>	so i couldn't get a chance
Oct 22 09:38:21 <RammsteinFan>	if you would have come in ytd she might have talked to you i guess
Oct 22 09:38:51 <LoverGuy>	she does talk
Oct 22 09:38:55 <LoverGuy>	but elusive
Oct 22 09:38:59 <LoverGuy>	she's wavering
Oct 22 09:39:15 <LoverGuy>	all that drama she does is to plant a hatred and disgust in me about her
Oct 22 09:39:24 <LoverGuy>	not tht much of what she says is true
Oct 22 09:39:49 <RammsteinFan>	hmmm 
Oct 22 09:40:00 <RammsteinFan>	why would she want to plant hatred in you?
Oct 22 09:40:19 <LoverGuy>	she is wavering... very scared of future
Oct 22 09:40:25 <LoverGuy>	until 
Oct 22 09:40:46 <LoverGuy>	God sees us with his eyes open, full of his grace, this is going to be the case
Oct 22 09:40:53 <LoverGuy>	so, it's just waiting period
Oct 22 09:41:07 <RammsteinFan>	hmmm ok
Oct 22 09:41:32 <RammsteinFan>	btw does dragon know about you two?
Oct 22 09:41:36 <LoverGuy>	yes
Oct 22 09:41:44 <RammsteinFan>	ok
Oct 22 09:41:48 <LoverGuy>	he seems interested in her, right?
Oct 22 09:41:51 <LoverGuy>	speaks a lot
Oct 22 09:41:52 <LoverGuy>	to her
Oct 22 09:41:56 <RammsteinFan>	yes
Oct 22 09:42:14 <RammsteinFan>	but dont tell him i said anythign ok
Oct 22 09:42:15 <LoverGuy>	she has no feelings for him
Oct 22 09:42:19 <LoverGuy>	sure sir
Oct 22 09:42:22 <LoverGuy>	don't you worry
Oct 22 09:42:23 <LoverGuy>	:)
Oct 22 09:42:27 <RammsteinFan>	:)
Oct 22 09:42:30 <LoverGuy>	i know he's been after her
Oct 22 09:42:32 <RammsteinFan>	ok
Oct 22 09:42:35 <LoverGuy>	and she spurned him
Oct 22 09:42:57 <RammsteinFan>	he was talking to her in main az and dew were there too
