**** BEGIN LOGGING AT Sat Dec 31 02:46:26 2016

[_Donald_Trump has address d@026A26.F7F80E.831088.22E821]
Dec 31 02:46:26 <_Donald_Trump>	hello
Dec 31 02:46:32 <DjAmmo>	hi
Dec 31 02:46:41 <_Donald_Trump>	i want this
Dec 31 02:46:46 <_Donald_Trump>	https://www.youtube.com/watch?v=xwsYvBYZcx4
Dec 31 02:46:48 <_Donald_Trump>	can i?
Dec 31 02:47:24 <DjAmmo>	sure
Dec 31 02:47:32 <DjAmmo>	request it
Dec 31 02:47:35 <_Donald_Trump>	john legend
Dec 31 02:48:21 <_Donald_Trump>	2 more
Dec 31 02:48:41 <DjAmmo>	o
Dec 31 02:48:42 <DjAmmo>	ok
Dec 31 02:49:08 <_Donald_Trump>	and what is name of this song??
Dec 31 02:49:43 <DjAmmo>	edward maya - stereo love
Dec 31 02:50:00 <DjAmmo>	you can see the name of the song in main
Dec 31 02:50:01 <_Donald_Trump>	ok, i like, thanks
Dec 31 02:50:07 <_Donald_Trump>	no
Dec 31 02:50:07 <DjAmmo>	:) yw
Dec 31 02:50:12 <DjAmmo>	ah ok..
Dec 31 02:50:12 <_Donald_Trump>	it didnt show chorus
Dec 31 02:50:17 <DjAmmo>	ok
Dec 31 02:50:24 <DjAmmo>	yeah sometimes therer is s problem
Dec 31 02:50:51 <_Donald_Trump>	i have to leave
Dec 31 02:51:01 <DjAmmo>	ok cya
Dec 31 02:51:02 <_Donald_Trump>	can u play a little faster my requests?
Dec 31 02:51:10 <DjAmmo>	playing it now
Dec 31 02:51:27 <_Donald_Trump>	yea and 1 more
Dec 31 02:51:35 <DjAmmo>	ok
Dec 31 02:52:06 <DjAmmo>	request it in main
**** ENDING LOGGING AT Sat Dec 31 02:52:09 2016

**** BEGIN LOGGING AT Sat Dec 31 02:59:11 2016

[_Donald_Trump has address d@026A26.F7F80E.831088.22E821]
Dec 31 02:59:11 <_Donald_Trump>	no biber??
Dec 31 02:59:19 <DjAmmo>	wait
Dec 31 02:59:23 <DjAmmo>	i am not a robot
Dec 31 02:59:54 <_Donald_Trump>	ok sorry jaja
Dec 31 03:00:08 <DjAmmo>	ok
Dec 31 03:00:14 <_Donald_Trump>	it just my sister want to used my laptop
Dec 31 03:00:27 <_Donald_Trump>	and cousin
Dec 31 03:00:44 <DjAmmo>	ok
Dec 31 03:01:14 <_Donald_Trump>	Justin Bieber song is for her
Dec 31 03:01:15 <_Donald_Trump>	not me
**** ENDING LOGGING AT Sat Dec 31 03:04:56 2016

