**** BEGIN LOGGING AT Sun Nov 13 17:55:21 2016

[mister_me has address most@61DC21.9E96C1.97D776.22813B]
Nov 13 17:55:21 <mister_me>	sorry
Nov 13 17:55:31 <RammsteinFan>	LG?
Nov 13 17:55:39 <mister_me>	yes
Nov 13 17:55:41 <mister_me>	:D
Nov 13 17:55:43 <RammsteinFan>	ok :)
Nov 13 17:56:05 <mister_me>	she confluends with mandakini and alakananda to form ganga
Nov 13 17:56:09 <mister_me>	only after that she assumes the name ganga
Nov 13 17:56:23 <RammsteinFan>	ah i see
Nov 13 17:56:26 <RammsteinFan>	nice
Nov 13 17:56:35 <mister_me>	like the place
Nov 13 17:56:36 <RammsteinFan>	how cold is it there?
Nov 13 17:56:56 <mister_me>	varies between 12 to 3 deg celcius
Nov 13 17:57:02 <RammsteinFan>	wow
Nov 13 17:57:05 <RammsteinFan>	damn cold
Nov 13 17:57:05 <mister_me>	getting colder
Nov 13 17:57:08 <mister_me>	yeah
Nov 13 17:57:10 <RammsteinFan>	omg
Nov 13 17:57:12 <mister_me>	i wanted to move up
Nov 13 17:57:20 <RammsteinFan>	it gets colder than that???
Nov 13 17:57:22 <mister_me>	to a place called harsil
Nov 13 17:57:24 <mister_me>	yes
Nov 13 17:57:36 <mister_me>	at harsil it can go to -5
Nov 13 17:57:47 <mister_me>	there are some ppl living in caves
Nov 13 17:58:06 <RammsteinFan>	wow
Nov 13 17:58:07 <mister_me>	i met two old kannada ladies living there alone in caves
Nov 13 17:58:18 <RammsteinFan>	what are they doing there?
Nov 13 17:58:29 <mister_me>	spiritual quest
Nov 13 17:58:51 <RammsteinFan>	ah i see
Nov 13 17:58:57 <RammsteinFan>	how old are they?
Nov 13 17:59:03 <mister_me>	50's
Nov 13 17:59:07 <mister_me>	i guess
Nov 13 17:59:14 <RammsteinFan>	wow
Nov 13 17:59:25 <mister_me>	should not enquire about sanyasi's past :P
Nov 13 17:59:29 <RammsteinFan>	great patience and strength they have
Nov 13 17:59:29 <mister_me>	so i kept quiet
Nov 13 17:59:32 <RammsteinFan>	lol
Nov 13 17:59:34 <mister_me>	nirmala mata
Nov 13 17:59:37 <RammsteinFan>	i didnt know that
Nov 13 17:59:37 <mister_me>	and another one
Nov 13 17:59:46 <mister_me>	yes, they are incredible
Nov 13 17:59:47 <RammsteinFan>	ill keep quiet too
Nov 13 17:59:52 <mister_me>	lol
Nov 13 18:00:21 <RammsteinFan>	:)
Nov 13 18:00:27 <RammsteinFan>	was just looking up on map
Nov 13 18:00:48 <mister_me>	i want to be a cave man, and my cousin wants to lease a serviced apartment in company's name
Nov 13 18:00:50 <mister_me>	:D
Nov 13 18:00:52 <mister_me>	oh ok
Nov 13 18:00:56 <RammsteinFan>	lool
Nov 13 18:01:02 <mister_me>	in damned bangalore
Nov 13 18:01:16 <RammsteinFan>	well both of them merits and demerits :)
Nov 13 18:01:23 <RammsteinFan>	them have*
Nov 13 18:01:25 <mister_me>	haahhaha
Nov 13 18:01:30 <mister_me>	yup they do
Nov 13 18:02:07 <mister_me>	goa is a break-even between the two.. i guess :)P
Nov 13 18:02:14 <RammsteinFan>	loool
Nov 13 18:02:17 <RammsteinFan>	yes
Nov 13 18:02:20 <RammsteinFan>	kinda
Nov 13 18:02:26 <mister_me>	that's better
Nov 13 18:02:33 <RammsteinFan>	my goa is not the same as your goa though :)
Nov 13 18:02:38 <mister_me>	tell me if you have a small job to offer me :)
Nov 13 18:02:42 <mister_me>	haha ok
Nov 13 18:02:47 <RammsteinFan>	you go to the beach and i go to my home :)
Nov 13 18:02:52 <RammsteinFan>	ah
Nov 13 18:02:52 <mister_me>	nah
Nov 13 18:02:54 <RammsteinFan>	sure buddy
Nov 13 18:02:58 <mister_me>	anywhere calm
Nov 13 18:03:03 <mister_me>	that's what i want
Nov 13 18:03:06 <mister_me>	the calm
Nov 13 18:03:16 <RammsteinFan>	sure sure
Nov 13 18:03:37 <RammsteinFan>	my parents arent in goa though
Nov 13 18:03:41 <mister_me>	is your hometown on the coast line?
Nov 13 18:03:45 <mister_me>	where are they?
Nov 13 18:03:59 <RammsteinFan>	we are originally from goa but my dad settled in belgaum
Nov 13 18:04:07 <mister_me>	ohh
Nov 13 18:04:15 <RammsteinFan>	so thats where i will be going
Nov 13 18:04:23 <mister_me>	that's nice too
Nov 13 18:04:25 <RammsteinFan>	goa doesnt have much to offer for me
Nov 13 18:04:30 <mister_me>	half marathi half kannada
Nov 13 18:04:34 <mister_me>	hmm
Nov 13 18:04:36 <RammsteinFan>	yeah
Nov 13 18:04:44 <RammsteinFan>	no industries  
Nov 13 18:04:50 <RammsteinFan>	no agriculature land
Nov 13 18:04:58 <RammsteinFan>	just our old house if left there
Nov 13 18:05:22 <mister_me>	hmm... there are lots of sugarcane companies in belgaum
Nov 13 18:05:38 <mister_me>	sugar companies
